MovieID,Movie Title,"Movie
Year","IMDB
Rating",                  Genres,"IMBD Votes
(REMOVED)"
m95,i am legend,2007,7.10,['drama' 'sci-fi' 'thriller']                ,
m96,invaders from mars,1953,6.40,['horror' 'sci-fi']                 ,
m97,independence day,1996,6.60,['action' 'adventure' 'sci-fi' 'thriller']               ,
m98,indiana jones and the last crusade,1989,8.30,['action' 'adventure' 'thriller' 'action' 'adventure' 'fantasy']             ,
m99,indiana jones and the temple of doom,1984,7.50,['action' 'adventure']                 ,
m100,innerspace,1987,6.50,['action' 'adventure' 'comedy' 'crime' 'sci-fi']              ,
m101,the insider,1999,8.00,['biography' 'drama' 'thriller']                ,
m102,intolerable cruelty,2003,6.40,['comedy' 'romance' 'crime']                ,
m103,it happened one night,1934,8.30,['comedy' 'romance']                 ,
m104,jfk,1991,8.00,['biography' 'drama' 'history' 'mystery' 'thriller']              ,
m105,jackie brown,1997,7.60,['crime' 'drama' 'thriller']                ,
m106,jacob's ladder,1990/I,7.50,['drama' 'mystery' 'thriller']                ,
m107,jason x,2001,4.40,['horror' 'sci-fi']                 ,
m108,jaws,1975,8.30,['thriller']                  ,
m109,juno,2007,7.90,['comedy' 'drama']                 ,
m110,kalifornia,1993,6.70,['crime' 'drama' 'thriller']                ,
m111,kids,1995,6.80,['crime' 'drama']                 ,
m112,knight moves,1992,5.80,['mystery' 'thriller']                 ,
m113,krull,1983,5.90,['fantasy' 'action' 'adventure' 'sci-fi']               ,
m114,léon,1994,8.60,['crime' 'drama' 'thriller']                ,
m115,labor of love,1998,4.50,[]                  ,
m116,leaving las vegas,1995,7.60,['drama' 'romance']                 ,
m117,legally blonde,2001,6.20,['comedy']                  ,
m118,legend,1985,6.20,['fantasy' 'adventure' 'romance']                ,
m119,life as a house,2001,7.50,['drama' 'romance']                 ,
m120,the life of david gale,2003,7.30,['drama' 'crime' 'thriller']                ,
m121,little nicky,2000,5.00,['fantasy' 'comedy' 'romance' 'animation' 'comedy' 'fantasy' 'horror']            ,
m122,logan's run,1976,6.70,['action' 'sci-fi']                 ,
m123,lost highway,1997,7.60,['drama' 'horror' 'mystery' 'thriller']               ,
m124,lost horizon,1937,7.80,['adventure' 'drama' 'fantasy' 'mystery']               ,
m125,men in black,1997,7.00,['action' 'adventure' 'comedy' 'sci-fi']               ,
m126,minority report,2002,7.70,['action' 'crime' 'mystery' 'sci-fi' 'thriller' 'action' 'animation' 'drama' 'mystery' 'sci-fi' 'thriller']        ,
m127,made,2001,6.40,['comedy' 'crime' 'drama' 'thriller']               ,
m128,malcolm x,1992,7.70,['biography' 'drama' 'history']                ,
m129,man on fire,2004,7.70,['action' 'crime' 'drama' 'thriller']               ,
m130,marty,1955,7.70,['drama' 'romance']                 ,
m131,mash,1970,7.80,['comedy' 'war' 'drama']                ,
m132,meet john doe,1941,7.70,['comedy' 'drama' 'romance']                ,
m133,metro,1997,5.30,['action' 'comedy' 'crime' 'drama' 'thriller']              ,
m134,metropolis,1927,8.40,['adventure' 'drama' 'sci-fi']                ,
m135,mighty morphin power rangers,1994,8.20,['action' 'family']                 ,
m136,mobsters,1991,5.50,['crime' 'drama']                 ,
m137,monkeybone,2001,4.50,['animation' 'comedy' 'fantasy' 'romance']               ,
m138,my mother dreams the satan's disciples in new york,1998,6.70,['short']                  ,
m139,mr. smith goes to washington,1939,8.40,['drama']                  ,
m140,mr. deeds goes to town,1936,8.00,['comedy' 'romance']                 ,
m141,mumford,1999,6.80,['comedy' 'drama']                 ,
m142,the mummy,1999,6.90,['action' 'adventure' 'fantasy']                ,
m143,mystery men,1999,5.90,['action' 'comedy' 'fantasy']                ,
m144,napoleon,1995,5.50,['family' 'adventure']                 ,
m145,next friday,2000,5.40,['comedy']                  ,
m146,nick of time,1995,6.20,['crime' 'drama' 'thriller']                ,
m147,the night of the hunter,1955,8.20,['drama' 'film-noir' 'thriller']                ,
m148,a nightmare on elm street,1984,7.40,['horror']                  ,
m149,ninotchka,1939,7.90,['comedy' 'romance']                 ,
m150,nixon,1995,7.10,['biography' 'drama']                 ,
m151,no country for old men,2007,8.30,['crime' 'drama' 'mystery' 'thriller' 'western']              ,
m152,nurse betty,2000,6.40,['comedy' 'crime' 'romance' 'thriller']               ,
m153,o brother where art thou?,2000,7.80,['comedy' 'adventure' 'crime' 'music']              ,
m154,an officer and a gentleman,1982,6.80,['drama' 'romance']                 ,
m155,panic room,2002,6.90,['thriller']                  ,
m156,panther,1995/I,5.90,['drama']                  ,
m157,the patriot,2000,6.90,['action' 'drama' 'war']                ,
m158,pet sematary,1989,6.30,['drama' 'fantasy' 'horror' 'mystery' 'thriller']              ,
m159,pirates of the caribbean,2003,7.20,['adventure' 'fantasy' 'horror']                ,
m160,plastic man,1999,6.70,['drama']                  ,
m161,platinum blonde,1931,6.90,['comedy' 'romance']                 ,
m162,pleasantville,1998,7.50,['comedy' 'drama' 'fantasy']                ,
m163,punch-drunk love,2002,7.40,['comedy' 'drama' 'romance']                ,
m164,quills,2000,7.30,['biography' 'drama' 'history' 'romance']               ,
m165,rko 281,1999,7.10,['biography' 'drama']                 ,
m166,raging bull,1980,8.40,['biography' 'drama' 'sport']                ,
m167,rear window,1954,8.70,['crime' 'mystery' 'romance' 'thriller']               ,
m168,rebel without a cause,1955,7.90,['drama' 'romance']                 ,
m169,reindeer games,2000,5.50,['action' 'crime' 'drama' 'thriller']               ,
m170,reservoir dogs,1992,8.40,['crime' 'mystery' 'thriller']                ,
m171,roughshod,1949,6.90,['action' 'drama' 'romance' 'western']               ,
m172,scary movie 2,2001,4.70,['comedy']                  ,
m173,serial mom,1994,6.40,['comedy' 'thriller']                 ,
m174,the seventh victim,1943,6.90,['drama' 'horror' 'thriller']                ,
m175,sex lies and videotape,1989,7.1,['drama']                ,
m176,shivers,1975,6.50,['horror' 'sci-fi']                 ,
m177,shock treatment,1981,5.40,['comedy' 'musical']                 ,
m178,sideways,2004,7.80,['comedy' 'drama' 'romance']                ,
m179,signs,2002,6.90,['drama' 'mystery' 'sci-fi' 'thriller']               ,
m180,silverado,1985,7.00,['action' 'western']                 ,
m181,simone,2010,8.30,['short' 'drama' 'horror' 'thriller']               ,
m182,the sixth sense,1999,8.20,['drama' 'mystery' 'thriller']                ,
m183,slash,2002,4.20,['comedy' 'horror' 'thriller']                ,
m184,slither,2006,6.60,['comedy' 'horror' 'sci-fi']                ,
m185,smokey and the bandit,1977,6.60,['action' 'comedy' 'crime' 'romance']               ,
m186,smokin' aces,2006,6.60,['action' 'crime' 'drama' 'thriller']               ,
m187,solaris,2002,6.20,['drama' 'mystery' 'romance' 'sci-fi']               ,
m188,someone to watch over me,1987,6.10,['action' 'crime' 'drama' 'romance' 'thriller']              ,
m189,spider-man,2002,7.40,['action' 'adventure' 'fantasy' 'sci-fi' 'action' 'adventure' 'sci-fi' 'thriller']           ,
m190,stalag 17,1953,8.20,['drama' 'war']                 ,
m191,star trek: generations,1994,6.50,['action' 'mystery' 'sci-fi' 'thriller']               ,
m192,star trek iii: the search for spock,1984,6.50,['action' 'adventure' 'sci-fi' 'thriller']               ,
m193,star trek: the wrath of khan,1982,7.80,['action' 'adventure' 'sci-fi' 'thriller']               ,
m194,star trek iv: the voyage home,1986,7.30,['adventure' 'comedy' 'sci-fi']                ,
m195,star trek: insurrection,1998,6.30,['action' 'adventure' 'sci-fi' 'thriller']               ,
m196,star trek: first contact,1996,7.60,['action' 'adventure' 'sci-fi' 'thriller']               ,
m197,star trek vi: the undiscovered country,1991,7.20,['action' 'mystery' 'sci-fi' 'thriller']               ,
m198,star trek: nemesis,2002,6.40,['action' 'sci-fi' 'thriller']                ,
m199,starman,1984,6.90,['adventure' 'drama' 'romance' 'sci-fi']               ,
m200,strange days,1995,7.10,['action' 'crime' 'drama' 'fantasy' 'music' 'mystery' 'sci-fi' 'thriller']           ,
m201,suspect zero,2004,5.80,['crime' 'horror' 'sci-fi' 'thriller']               ,
m202,swingers,1996,7.60,['comedy' 'drama']                 ,
m203,the godfather,1972,9.20,['crime' 'drama' 'thriller']                ,
m204,the talented mr. ripley,1999,7.20,['crime' 'drama' 'thriller']                ,
m205,taxi driver,1976,8.60,['drama' 'thriller']                 ,
m206,the rock,1996,7.30,['action' 'adventure' 'thriller']                ,
m207,the majestic,2001,6.80,['drama' 'romance']                 ,
m208,the birds,1963,7.90,['horror' 'romance' 'thriller']                ,
m209,the body snatcher,1945,7.40,['drama' 'horror' 'thriller']                ,
m210,the crow: salvation,2000,4.70,['action' 'crime' 'fantasy' 'mystery' 'thriller']              ,
m211,the day the earth stood still,2008,5.50,['drama' 'sci-fi' 'thriller']                ,
m212,the lost boys,1987,7.00,['comedy' 'fantasy' 'horror' 'thriller']               ,
m213,the thing,1982,8.20,['horror' 'mystery' 'sci-fi' 'thriller']               ,
m214,the time machine,2002,5.70,['sci-fi' 'adventure' 'action']                ,
m215,the jacket,2005,7.10,['drama' 'fantasy' 'mystery' 'sci-fi' 'thriller']              ,
m216,thelma & louise,1991,7.30,['crime' 'drama' 'thriller']                ,
m217,there's something about mary,1998,7.20,['comedy' 'romance']                 ,
m218,thirteen days,2000,7.30,['drama' 'history' 'thriller']                ,
m219,thunderheart,1992,6.60,['crime' 'mystery' 'thriller' 'western']               ,
m220,top gun,1986,6.50,['action' 'drama' 'romance']                ,
m221,total recall,1990,7.40,['action' 'adventure' 'sci-fi' 'thriller']               ,
m222,tremors,1990,7.10,['action' 'comedy' 'horror' 'thriller']               ,
m223,true believer,1989,6.70,['drama' 'crime']                 ,
m224,twin peaks: fire walk with me,1992,7.00,['drama' 'horror' 'mystery' 'thriller']               ,
m225,the verdict,1982,7.70,['drama']                  ,
m226,the war of the worlds,1953,7.10,['action' 'horror' 'sci-fi' 'thriller']               ,
m227,new nightmare,1994,6.30,['fantasy' 'horror' 'mystery' 'thriller']               ,
m228,white squall,1996,6.40,['adventure' 'drama']                 ,
m229,wild at heart,1990,7.20,['crime' 'romance' 'thriller']                ,
m230,wonder boys,2000,7.50,['drama' 'comedy']                 ,
m231,the woodsman,2004,7.40,['drama']                  ,
m232,the abyss,1989,7.60,['action' 'adventure' 'drama' 'sci-fi' 'thriller']              ,
m233,l'avventura,1960,7.90,['drama' 'mystery']                 ,
m234,agnes of god,1985,6.50,['drama' 'mystery' 'thriller']                ,
m235,a hard day's night,1964,7.60,['comedy' 'music']                 ,
m236,alien,1979,8.50,['adventure' 'horror' 'sci-fi' 'thriller']               ,
m237,alien vs. predator,1993,7.80,['action' 'adventure' 'sci-fi']                ,
m238,all about eve,1950,8.50,['drama']                  ,
m239,all the president's men,1976,8.00,['drama' 'history' 'thriller']                ,
m240,american pie,1999,6.90,['comedy' 'romance']                 ,
m241,an american werewolf in paris,1997,4.90,['horror' 'romance' 'thriller' 'comedy']               ,
m242,anastasia,1997,6.60,['animation' 'adventure' 'drama' 'family' 'musical' 'animation' 'family']            ,
m243,annie hall,1977,8.30,['comedy' 'drama' 'romance']                ,
m244,the anniversary party,2001,6.20,['drama' 'comedy']                 ,
m245,antz,1998,6.80,['animation' 'adventure' 'comedy' 'family']               ,
m246,the apartment,1960,8.40,['romance' 'comedy' 'drama']                ,
m247,apocalypse now,1979,8.60,['drama' 'war']                 ,
m248,arctic blue,1993,4.80,['action' 'thriller']                 ,
m249,as good as it gets,1997,7.80,['comedy' 'drama' 'romance']                ,
m250,assassins,1995,6.00,['action' 'thriller' 'crime']                ,
m251,asylum,2005,6.10,['drama' 'romance' 'thriller']                ,
m252,a walk to remember,2002,7.10,['drama' 'romance']                 ,
m253,back to the future,1985,8.40,['adventure' 'family' 'sci-fi']                ,
m254,badlands,1973,7.90,['crime' 'drama' 'romance' 'thriller']               ,
m255,the adventures of buckaroo banzai across the 8th dimension,1984,6.00,['adventure' 'romance' 'comedy' 'sci-fi']               ,
m256,barton fink,1991,7.80,['drama' 'mystery' 'thriller']                ,
m257,basic instinct,1992,6.90,['mystery' 'romance' 'thriller']                ,
m258,basquiat,1996,6.70,['biography' 'drama']                 ,
m259,batman returns,1992,6.90,['action' 'crime' 'fantasy' 'thriller' 'animation' 'crime' 'fantasy' 'action' 'thriller']          ,
m260,batman and robin,1949,6.50,['action' 'adventure' 'crime' 'drama' 'sci-fi']              ,
m261,batman forever,1995,5.40,['action' 'crime' 'fantasy' 'thriller']               ,
m262,batman,1989,7.60,['crime' 'drama' 'thriller' 'action' 'adventure' 'crime']             ,
m263,bean,1997,5.80,['comedy' 'family']                 ,
m264,beavis and butt-head do america,1996,6.60,['animation' 'adventure' 'comedy' 'crime']               ,
m265,beetle juice,1988,7.30,['comedy' 'fantasy']                 ,
m266,being there,1979,8.00,['drama' 'comedy']                 ,
m267,being john malkovich,1999,7.90,['comedy' 'drama' 'fantasy' 'romance']               ,
m268,beloved,1998/I,5.60,['drama' 'mystery']                 ,
m269,the big lebowski,1998,8.20,['comedy' 'crime' 'mystery']                ,
m270,the black dahlia,2006,5.60,['crime' 'drama' 'history' 'mystery' 'thriller']              ,
m271,blade ii,2002,6.60,['action' 'fantasy' 'horror' 'thriller' 'action' 'adventure' 'horror']            ,
m272,blade,1998,7.00,['action' 'adventure' 'fantasy' 'horror' 'thriller']              ,
m273,book of shadows: blair witch 2,2000,4.10,['crime' 'horror' 'mystery' 'thriller']               ,
m274,blood simple.,1984,7.80,['crime' 'drama' 'thriller']                ,
m275,bloodmoon,1997,4.50,['action' 'thriller']                 ,
m276,blow,2001,7.40,['biography' 'crime' 'drama']                ,
m277,la battaglia di algeri,1966,8.20,['drama' 'history' 'war']                ,
m278,body of evidence,1993,4.10,['drama' 'romance' 'thriller']                ,
m279,the bridges of madison county,1995,7.20,['drama' 'romance']                 ,
m280,bones,2001,4.00,['crime' 'horror']                 ,
m281,bound,1996,7.50,['crime' 'drama' 'thriller']                ,
m282,the bourne identity,2002,7.70,['action' 'adventure' 'mystery' 'thriller']               ,
m283,brazil,1985,8.00,['drama' 'fantasy' 'sci-fi']                ,
m284,bringing out the dead,1999,6.80,['drama' 'thriller']                 ,
m285,broadcast news,1987,7.10,['comedy' 'drama' 'romance']                ,
m286,a bucket of blood,1959,6.80,['comedy' 'horror']                 ,
m287,buffy the vampire slayer,1992,5.30,['horror' 'comedy' 'action']                ,
m288,bull durham,1988,7.00,['comedy' 'romance' 'sport']                ,
m289,casino,1995,8.10,['biography' 'crime' 'drama']                ,
m290,catwoman,2004,3.20,['action' 'crime' 'fantasy']                ,
m291,cellular,2004,6.50,['action' 'crime' 'thriller']                ,
m292,the crying game,1992,7.30,['drama' 'thriller']                 ,
m293,charade,1963,8.00,['comedy' 'mystery' 'romance' 'thriller']               ,
m294,cherry falls,2000,4.80,['horror' 'mystery' 'thriller']                ,
m295,chill factor,1999,4.90,['action' 'adventure' 'comedy' 'thriller']               ,
m296,chinatown,1974,8.50,['crime' 'drama' 'mystery' 'thriller']               ,
m297,nuovo cinema paradiso,1988,8.50,['comedy' 'drama' 'romance']                ,
m298,citizen kane,1941,8.60,['drama' 'mystery']                 ,
m299,clerks.,1994,8.00,['comedy']                  ,
m300,cliffhanger,1993,6.20,['action' 'adventure' 'thriller']                ,
m301,a clockwork orange,1971,8.50,['crime' 'drama' 'sci-fi']                ,
m302,collateral,2004,7.80,['crime' 'drama' 'thriller']                ,
m303,conspiracy theory,1997,6.50,['action' 'crime' 'mystery' 'romance' 'thriller']              ,
m304,contact,1997,7.40,['drama' 'mystery' 'sci-fi' 'thriller']               ,
m305,cool hand luke,1967,8.30,['crime' 'drama']                 ,
m306,copycat,1995,6.50,['crime' 'mystery' 'thriller']                ,
m307,crash,2004/I,8.00,['crime' 'drama']                 ,
m308,crazy love,2007/I,7.00,['documentary']                  ,
m309,crime spree,2003,6.40,['action' 'comedy' 'crime']                ,
m310,crouching tiger hidden dragon,2003,8.00,['action']                 ,
m311,the crow,1994,7.60,['action' 'crime' 'fantasy' 'thriller']               ,
m312,cruel intentions,1999,6.70,['drama' 'romance' 'thriller']                ,
m313,the curse of the cat people,1944,6.90,['drama' 'fantasy' 'horror']                ,
m314,the curse,1987,4.50,['sci-fi' 'horror']                 ,
m315,dark city,1998,7.80,['mystery' 'sci-fi' 'thriller']                ,
m316,dave,1993,6.80,['comedy' 'romance']                 ,
m317,day of the dead,1985,7.00,['horror' 'sci-fi']                 ,
m318,dead poets society,1989,7.80,['drama']                  ,
m319,deep rising,1998,5.70,['action' 'horror' 'sci-fi' 'thriller']               ,
m320,the deer hunter,1978,8.20,['drama' 'war']                 ,
m321,demolition man,1993,6.30,['action' 'crime' 'sci-fi']                ,
m322,the devil and daniel webster,2004,5.70,['comedy' 'drama' 'fantasy']                ,
m323,die hard,1988,8.30,['action' 'crime' 'thriller']                ,
m324,dog day afternoon,1975,8.20,['crime' 'drama']                 ,
m325,domino,2005,5.90,['action' 'crime' 'drama' 'thriller']               ,
m326,do the right thing,1989,7.90,['drama']                  ,
m327,dumb and dumberer: when harry met lloyd,2003,3.30,['comedy']                  ,
m328,dune,1984,6.50,['action' 'adventure' 'sci-fi']                ,
m329,ed wood,1994,8.10,['biography' 'comedy' 'drama']                ,
m330,edtv,1999,6.10,['comedy']                  ,
m331,election,1999,7.40,['comedy' 'drama']                 ,
m332,l.a. confidential,1997,8.40,['crime' 'drama' 'mystery' 'thriller']               ,
m333,enemy of the state,1998,7.20,['action' 'drama' 'thriller']                ,
m334,the english patient,1996,7.30,['romance' 'drama' 'war']                ,
m335,entrapment,1999,6.10,['action' 'crime' 'romance' 'thriller']               ,
m336,erin brockovich,2000,7.20,['biography' 'drama' 'romance']                ,
m337,star wars: the empire strikes back,1982,8.00,['animation' 'adventure' 'action' 'fantasy']               ,
m338,escape from the planet of the apes,1971,6.10,['sci-fi' 'thriller']                 ,
m339,escape from l.a.,1996,5.30,['action' 'adventure' 'sci-fi' 'thriller']               ,
m340,excalibur,1981,7.40,['adventure' 'drama' 'fantasy']                ,
m341,the exorcist,1973,8.10,['horror' 'thriller']                 ,
m342,the fabulous baker boys,1989,6.70,['drama' 'music' 'romance']                ,
m343,face/off,1997,7.30,['action' 'crime' 'drama' 'sci-fi' 'thriller']              ,
m344,the family man,2000,6.60,['comedy' 'fantasy' 'drama' 'romance']               ,
m345,the fantastic four,1994,3.80,['action' 'adventure' 'sci-fi' 'fantasy']               ,
m346,fantastic voyage,1966,6.80,['adventure' 'sci-fi']                 ,
m347,fargo,1996,8.30,['crime' 'drama' 'thriller']                ,
m348,fight club,1999,8.80,['crime' 'drama' 'mystery' 'thriller']               ,
m349,final destination 2,2003,6.40,['horror' 'thriller']                 ,
m350,final destination,2000,6.80,['horror' 'thriller']                 ,
m351,rambo: first blood part ii,1985,5.80,['action' 'adventure' 'thriller']                ,
m352,the fisher king,1991,7.50,['comedy' 'drama' 'romance']                ,
m353,five easy pieces,1970,7.50,['drama']                  ,
m354,five feet high and rising,2000,6.50,['short']                  ,
m355,fletch,1985,6.70,['comedy' 'crime' 'mystery']                ,
m356,the adventures of ford fairlane,1990,5.60,['action' 'adventure' 'comedy' 'music']               ,
m357,the french connection,1971,7.90,['action' 'crime' 'thriller']                ,
m358,frequency,2000,7.30,['crime' 'drama' 'sci-fi' 'thriller']               ,
m359,friday the 13th part iii,1982,5.10,['horror']                  ,
m360,jason lives: friday the 13th part vi,1986,5.30,['comedy' 'horror' 'thriller']                ,
m361,jason goes to hell: the final friday,1993,4.10,['horror' 'thriller']                 ,
m362,friday the 13th part viii: jason takes manhattan,1989,3.90,['horror']                  ,
m363,game 6,2005,6.00,['comedy' 'drama' 'sport']                ,
m364,gandhi,1982,8.20,['biography' 'drama' 'history']                ,
m365,gattaca,1997,7.80,['drama' 'romance' 'sci-fi' 'thriller']               ,
m366,the getaway,1972,7.50,['action' 'adventure' 'crime' 'thriller']               ,
m367,get carter,2000,4.80,['action' 'crime' 'drama' 'thriller']               ,
m368,glengarry glen ross,1992,7.90,['drama']                  ,
m369,the godfather: part ii,1974,9.00,['crime' 'drama' 'thriller']                ,
m370,gods and monsters,1998,7.50,['biography' 'drama']                 ,
m371,gone in sixty seconds,2000,6.00,['action' 'crime' 'thriller']                ,
m372,goodfellas,1990,8.80,['crime' 'drama' 'thriller']                ,
m373,good will hunting,1997,8.10,['drama']                  ,
m374,the grapes of wrath,1940,8.30,['drama']                  ,
m375,grosse pointe blank,1997,7.40,['comedy' 'crime' 'romance' 'thriller']               ,
m376,the horse whisperer,1998,6.40,['drama' 'romance' 'western']                ,
m377,hackers,1995,5.80,['action' 'crime' 'drama' 'thriller']               ,
m378,halloween 4: the return of michael myers,1988,5.60,['horror' 'thriller']                 ,
m379,halloween,1978,7.90,['horror' 'thriller']                 ,
m380,hannah and her sisters,1986,7.90,['comedy' 'drama' 'romance']                ,
m381,hannibal,2001,6.40,['crime' 'thriller']                 ,
