,CharacterID,MovieID,Gender
289,u289,m18,?
290,u290,m18,?
291,u291,m18,?
292,u292,m18,f
293,u293,m18,?
294,u294,m18,?
295,u295,m18,?
296,u296,m18,?
297,u297,m18,m
298,u298,m18,?
299,u299,m18,f
300,u300,m18,?
301,u301,m18,?
302,u302,m18,?
303,u303,m18,?
304,u304,m18,?
305,u305,m18,?
306,u306,m19,m
307,u307,m19,?
308,u308,m19,m
309,u309,m19,?
310,u310,m19,?
311,u311,m19,?
312,u312,m19,m
313,u313,m19,m
314,u314,m19,?
315,u315,m19,?
316,u316,m19,?
317,u317,m19,?
318,u318,m19,?
319,u319,m19,?
320,u320,m19,m
321,u321,m19,?
322,u322,m19,m
323,u323,m19,m
324,u324,m19,?
325,u325,m19,?
326,u326,m19,f
327,u327,m20,m
328,u328,m20,?
329,u329,m20,?
330,u330,m20,?
331,u331,m20,f
332,u332,m20,?
333,u333,m20,f
334,u334,m20,f
335,u335,m20,m
336,u336,m20,f
337,u337,m20,m
338,u338,m20,?
339,u339,m20,?
340,u340,m20,?
341,u341,m20,?
342,u342,m20,?
343,u343,m20,?
344,u344,m21,f
345,u345,m21,?
346,u346,m21,?
347,u347,m21,?
348,u348,m21,?
349,u349,m21,m
350,u350,m21,?
351,u351,m21,?
352,u352,m21,?
353,u353,m21,f
354,u354,m21,m
355,u355,m21,?
356,u356,m21,?
357,u357,m21,?
358,u358,m21,?
359,u359,m21,?
360,u360,m22,f
361,u361,m22,?
362,u362,m22,m
363,u363,m22,m
364,u364,m22,?
365,u365,m22,?
366,u366,m22,?
367,u367,m22,m
368,u368,m22,?
369,u369,m22,?
370,u370,m22,?
371,u371,m22,?
372,u372,m22,?
373,u373,m22,?
374,u374,m22,?
375,u375,m22,m
376,u376,m22,?
377,u377,m22,f
378,u378,m23,?
379,u379,m23,?
380,u380,m23,f
381,u381,m23,?
382,u382,m23,m
383,u383,m23,m
384,u384,m23,?
385,u385,m23,?
386,u386,m23,?
387,u387,m23,m
388,u388,m23,f
389,u389,m23,?
390,u390,m24,?
391,u391,m24,?
392,u392,m24,m
393,u393,m24,f
394,u394,m24,?
395,u395,m24,?
396,u396,m24,?
397,u397,m24,?
398,u398,m24,?
399,u399,m24,?
400,u400,m24,?
401,u401,m24,?
402,u402,m24,?
403,u403,m24,m
404,u404,m24,?
405,u405,m24,?
406,u406,m24,m
407,u407,m24,?
408,u408,m24,?
409,u409,m24,?
410,u410,m24,?
411,u411,m25,?
412,u412,m25,m
413,u413,m25,?
414,u414,m25,?
415,u415,m25,?
416,u416,m25,f
417,u417,m25,f
418,u418,m25,?
419,u419,m25,?
420,u420,m25,m
421,u421,m25,m
422,u422,m25,?
423,u423,m25,?
424,u424,m25,?
425,u425,m26,f
426,u426,m26,?
427,u427,m26,?
428,u428,m26,?
429,u429,m26,?
430,u430,m26,?
431,u431,m26,m
432,u432,m26,m
433,u433,m26,?
434,u434,m26,?
435,u435,m27,?
436,u436,m27,?
437,u437,m27,?
438,u438,m27,?
439,u439,m27,m
440,u440,m27,?
441,u441,m27,m
442,u442,m27,?
443,u443,m27,?
444,u444,m27,?
445,u445,m27,m
446,u446,m27,?
447,u447,m27,m
448,u448,m27,?
449,u449,m27,?
450,u450,m27,f
451,u451,m27,M
452,u452,m27,f
453,u453,m27,?
454,u454,m28,?
455,u455,m28,?
456,u456,m28,m
457,u457,m28,m
458,u458,m28,?
459,u459,m28,m
460,u460,m28,?
461,u461,m28,F
462,u462,m28,?
463,u463,m28,?
464,u464,m28,?
465,u465,m28,?
466,u466,m28,?
467,u467,m28,?
468,u468,m28,?
469,u469,m28,?
470,u470,m28,?
471,u471,m28,?
472,u472,m28,?
473,u473,m28,M
474,u474,m28,?
475,u475,m28,?
476,u476,m29,?
477,u477,m29,?
478,u478,m29,m
479,u479,m29,m
480,u480,m29,m
481,u481,m29,?
482,u482,m29,f
483,u483,m29,m
484,u484,m29,?
485,u485,m29,m
486,u486,m29,?
487,u487,m29,?
488,u488,m30,m
489,u489,m30,?
490,u490,m30,?
491,u491,m30,?
492,u492,m30,M
493,u493,m30,f
494,u494,m30,f
495,u495,m30,?
496,u496,m30,?
497,u497,m30,f
498,u498,m30,m
499,u499,m31,?
500,u500,m31,?
501,u501,m31,m
502,u502,m31,f
503,u503,m31,?
504,u504,m31,m
505,u505,m32,f
506,u506,m32,?
507,u507,m32,?
508,u508,m32,?
509,u509,m32,m
510,u510,m32,?
511,u511,m32,m
512,u512,m32,?
513,u513,m32,?
514,u514,m32,M
515,u515,m32,f
516,u516,m32,m
517,u517,m32,f
518,u518,m32,?
519,u519,m32,m
520,u520,m33,m
521,u521,m33,?
522,u522,m33,?
523,u523,m33,f
524,u524,m33,?
525,u525,m33,m
526,u526,m33,m
527,u527,m33,?
528,u528,m33,?
529,u529,m34,m
530,u530,m34,?
531,u531,m34,?
532,u532,m34,m
533,u533,m34,?
534,u534,m34,?
535,u535,m34,?
536,u536,m34,?
537,u537,m34,?
538,u538,m34,?
539,u539,m34,f
540,u540,m34,f
541,u541,m34,?
542,u542,m34,m
543,u543,m34,?
544,u544,m34,?
545,u545,m34,?
546,u546,m34,?
547,u547,m35,m
548,u548,m35,?
549,u549,m35,?
550,u550,m35,?
551,u551,m35,?
552,u552,m35,?
553,u553,m35,m
554,u554,m35,?
555,u555,m35,?
556,u556,m35,f
557,u557,m35,f
558,u558,m35,?
559,u559,m35,?
560,u560,m35,?
561,u561,m35,?
562,u562,m35,?
563,u563,m35,?
564,u564,m35,?
565,u565,m35,?
566,u566,m35,?
567,u567,m35,m
568,u568,m36,?
569,u569,m36,?
570,u570,m36,m
571,u571,m36,f
572,u572,m36,?
573,u573,m36,?
574,u574,m36,m
575,u575,m36,?
576,u576,m36,?
577,u577,m36,?
578,u578,m36,?
579,u579,m36,?
580,u580,m36,f
581,u581,m36,?
582,u582,m37,?
583,u583,m37,?
584,u584,m37,?
585,u585,m37,m
586,u586,m37,?
587,u587,m37,?
588,u588,m37,?
589,u589,m37,m
590,u590,m37,?
591,u591,m37,?
592,u592,m37,m
593,u593,m37,m
594,u594,m37,m
595,u595,m37,?
596,u596,m37,m
597,u597,m37,?
598,u598,m37,?
599,u599,m38,m
600,u600,m38,?
601,u601,m38,m
602,u602,m38,?
603,u603,m38,m
604,u604,m38,?
605,u605,m38,?
606,u606,m38,?
607,u607,m38,?
608,u608,m38,?
609,u609,m38,?
610,u610,m38,?
611,u611,m38,m
612,u612,m39,m
613,u613,m39,m
614,u614,m39,?
615,u615,m39,?
616,u616,m39,f
617,u617,m39,?
618,u618,m39,?
619,u619,m39,f
620,u620,m39,?
621,u621,m39,?
622,u622,m39,f
623,u623,m39,f
624,u624,m39,?
625,u625,m39,?
626,u626,m39,?
627,u627,m39,?
628,u628,m40,?
629,u629,m40,?
630,u630,m40,?
631,u631,m40,?
632,u632,m40,?
633,u633,m40,?
634,u634,m40,?
635,u635,m40,?
636,u636,m40,f
637,u637,m40,?
638,u638,m40,f
639,u639,m40,?
640,u640,m40,?
641,u641,m40,m
642,u642,m40,m
643,u643,m41,f
644,u644,m41,?
645,u645,m41,m
646,u646,m41,m
647,u647,m41,?
648,u648,m41,?
649,u649,m41,?
650,u650,m41,f
651,u651,m41,?
652,u652,m41,?
653,u653,m41,?
654,u654,m41,?
655,u655,m41,?
656,u656,m41,?
657,u657,m41,?
658,u658,m42,f
659,u659,m42,?
660,u660,m42,?
661,u661,m42,?
662,u662,m42,?
663,u663,m42,m
664,u664,m42,f
665,u665,m42,m
666,u666,m42,m
667,u667,m42,m
668,u668,m42,m
669,u669,m42,m
670,u670,m42,?
671,u671,m42,m
672,u672,m42,?
673,u673,m43,?
674,u674,m43,m
675,u675,m43,?
676,u676,m43,m
677,u677,m43,?
678,u678,m43,?
679,u679,m43,?
680,u680,m43,?
681,u681,m43,m
682,u682,m43,f
683,u683,m43,?
684,u684,m43,?
685,u685,m43,?
686,u686,m43,m
687,u687,m43,?
688,u688,m43,?
689,u689,m44,f
690,u690,m44,m
691,u691,m44,f
692,u692,m44,?
693,u693,m44,?
694,u694,m44,?
695,u695,m44,m
696,u696,m44,?
697,u697,m44,m
698,u698,m44,?
699,u699,m44,?
700,u700,m44,m
701,u701,m44,?
702,u702,m44,?
703,u703,m44,?
704,u704,m44,?
705,u705,m44,?
706,u706,m44,f
707,u707,m44,m
708,u708,m45,m
709,u709,m45,?
710,u710,m45,m
711,u711,m45,?
712,u712,m45,m
713,u713,m45,m
714,u714,m45,m
715,u715,m45,f
716,u716,m45,?
717,u717,m45,m
718,u718,m45,m
719,u719,m45,?
720,u720,m45,?
721,u721,m45,?
722,u722,m45,?
723,u723,m45,?
724,u724,m45,?
725,u725,m46,f
726,u726,m46,?
727,u727,m46,m
728,u728,m46,m
729,u729,m46,?
730,u730,m46,f
731,u731,m46,?
732,u732,m46,?
733,u733,m46,f
734,u734,m46,m
735,u735,m46,m
736,u736,m46,?
737,u737,m47,m
738,u738,m47,?
739,u739,m47,m
740,u740,m47,m
741,u741,m47,m
742,u742,m47,m
743,u743,m47,m
744,u744,m48,?
745,u745,m48,m
746,u746,m48,?
747,u747,m48,?
748,u748,m48,?
749,u749,m48,?
750,u750,m48,?
751,u751,m48,M
752,u752,m48,f
753,u753,m48,M
754,u754,m48,?
755,u755,m48,f
756,u756,m48,M
757,u757,m48,?
758,u758,m48,?
759,u759,m48,?
760,u760,m48,?
761,u761,m49,?
762,u762,m49,?
763,u763,m49,?
764,u764,m49,?
765,u765,m49,m
766,u766,m49,m
767,u767,m49,?
768,u768,m49,m
769,u769,m49,?
770,u770,m49,?
771,u771,m49,?
772,u772,m49,?
773,u773,m49,?
774,u774,m49,?
775,u775,m49,m
776,u776,m49,?
777,u777,m50,?
778,u778,m50,?
779,u779,m50,m
780,u780,m50,?
781,u781,m50,M
782,u782,m50,?
783,u783,m50,?
784,u784,m50,?
785,u785,m50,f
786,u786,m50,?
787,u787,m50,?
788,u788,m50,?
789,u789,m50,?
790,u790,m50,?
791,u791,m50,?
792,u792,m50,?
793,u793,m50,?
794,u794,m50,?
795,u795,m50,?
796,u796,m51,f
797,u797,m51,f
798,u798,m51,?
799,u799,m51,?
800,u800,m51,?
801,u801,m51,?
802,u802,m51,?
803,u803,m51,?
804,u804,m51,?
805,u805,m51,?
806,u806,m51,?
807,u807,m51,?
808,u808,m51,?
809,u809,m51,?
810,u810,m51,f
811,u811,m51,?
812,u812,m51,?
813,u813,m51,?
814,u814,m51,?
815,u815,m51,?
816,u816,m52,?
817,u817,m52,m
818,u818,m52,m
819,u819,m52,?
820,u820,m52,M
821,u821,m52,m
822,u822,m52,m
823,u823,m52,?
824,u824,m53,f
825,u825,m53,?
826,u826,m53,m
827,u827,m53,m
828,u828,m53,?
829,u829,m53,?
830,u830,m53,?
831,u831,m53,?
832,u832,m53,m
833,u833,m53,f
834,u834,m53,?
835,u835,m53,?
836,u836,m53,?
837,u837,m53,?
838,u838,m53,m
839,u839,m54,f
840,u840,m54,m
841,u841,m54,?
842,u842,m54,?
843,u843,m54,?
844,u844,m54,?
845,u845,m54,?
846,u846,m54,f
847,u847,m54,?
848,u848,m54,m
849,u849,m54,m
850,u850,m54,?
851,u851,m54,m
852,u852,m54,?
853,u853,m54,?
854,u854,m54,m
855,u855,m54,m
856,u856,m54,?
857,u857,m54,?
858,u858,m55,?
859,u859,m55,f
860,u860,m55,?
861,u861,m55,m
862,u862,m55,f
863,u863,m55,m
864,u864,m55,f
865,u865,m55,?
866,u866,m55,?
867,u867,m55,m
868,u868,m55,?
869,u869,m55,m
870,u870,m55,?
871,u871,m55,?
872,u872,m56,m
873,u873,m56,?
874,u874,m56,f
875,u875,m56,?
876,u876,m56,?
877,u877,m56,f
878,u878,m56,m
879,u879,m57,m
880,u880,m57,?
881,u881,m57,?
882,u882,m57,?
883,u883,m57,?
884,u884,m57,m
885,u885,m57,f
886,u886,m57,m
887,u887,m57,f
888,u888,m57,m
889,u889,m58,?
890,u890,m58,m
891,u891,m58,?
892,u892,m58,?
893,u893,m58,m
894,u894,m58,?
895,u895,m58,m
896,u896,m58,?
897,u897,m58,f
898,u898,m58,?
899,u899,m58,m
900,u900,m59,?
901,u901,m59,m
902,u902,m59,?
903,u903,m59,?
904,u904,m59,m
905,u905,m59,?
906,u906,m59,?
907,u907,m59,?
908,u908,m59,?
909,u909,m59,?
910,u910,m59,f
911,u911,m59,?
912,u912,m59,m
913,u913,m59,?
914,u914,m59,m
915,u915,m59,f
916,u916,m59,?
917,u917,m59,?
918,u918,m60,f
919,u919,m60,?
920,u920,m60,m
921,u921,m60,m
922,u922,m60,?
923,u923,m60,?
924,u924,m60,?
925,u925,m60,?
926,u926,m61,?
927,u927,m61,?
928,u928,m61,?
929,u929,m61,f
930,u930,m61,m
931,u931,m61,?
932,u932,m61,?
933,u933,m61,?
934,u934,m61,?
935,u935,m61,f
936,u936,m61,?
937,u937,m61,?
938,u938,m61,?
939,u939,m61,?
940,u940,m61,?
941,u941,m61,?
942,u942,m62,?
943,u943,m62,?
944,u944,m62,?
945,u945,m62,?
946,u946,m62,?
947,u947,m62,?
948,u948,m62,m
949,u949,m62,?
950,u950,m62,?
951,u951,m62,?
952,u952,m62,?
953,u953,m62,m
954,u954,m62,?
955,u955,m62,f
956,u956,m62,m
957,u957,m62,?
958,u958,m62,?
959,u959,m62,?
960,u960,m62,?
961,u961,m62,?
962,u962,m62,f
963,u963,m62,?
964,u964,m62,?
965,u965,m62,?
966,u966,m62,?
967,u967,m62,m
968,u968,m62,?
969,u969,m62,m
970,u970,m62,?
971,u971,m63,?
972,u972,m63,f
973,u973,m63,?
974,u974,m63,?
975,u975,m63,?
976,u976,m63,m
977,u977,m63,?
978,u978,m63,?
979,u979,m63,?
980,u980,m63,m
981,u981,m63,?
982,u982,m63,?
983,u983,m64,f
984,u984,m64,?
985,u985,m64,m
986,u986,m64,?
987,u987,m64,?
988,u988,m64,?
989,u989,m64,?
990,u990,m64,?
991,u991,m64,?
992,u992,m64,?
993,u993,m64,?
994,u994,m64,?
995,u995,m65,?
996,u996,m65,?
997,u997,m65,m
998,u998,m65,f
999,u999,m65,?
1000,u1000,m65,?
1001,u1001,m65,?
1002,u1002,m65,?
1003,u1003,m65,m
1004,u1004,m65,?
1005,u1005,m65,m
1006,u1006,m65,?
1007,u1007,m66,?
1008,u1008,m66,m
1009,u1009,m66,?
1010,u1010,m66,f
1011,u1011,m66,?
1012,u1012,m66,?
1013,u1013,m66,?
1014,u1014,m66,?
1015,u1015,m66,?
1016,u1016,m66,?
1017,u1017,m66,f
1018,u1018,m66,?
1019,u1019,m66,m
1020,u1020,m66,?
1021,u1021,m66,?
1022,u1022,m66,?
1023,u1023,m66,m
1024,u1024,m67,m
1025,u1025,m67,f
1026,u1026,m67,?
1027,u1027,m67,?
1028,u1028,m67,?
1029,u1029,m67,?
1030,u1030,m67,?
1031,u1031,m67,?
1032,u1032,m67,M
1033,u1033,m67,?
1034,u1034,m67,M
1035,u1035,m67,?
1036,u1036,m68,m
1037,u1037,m68,m
1038,u1038,m68,?
1039,u1039,m68,?
1040,u1040,m68,?
1041,u1041,m68,f
1042,u1042,m68,m
1043,u1043,m68,?
1044,u1044,m68,?
1045,u1045,m68,m
1046,u1046,m68,?
1047,u1047,m68,m
1048,u1048,m68,?
1049,u1049,m68,m
1050,u1050,m69,M
1051,u1051,m69,?
1052,u1052,m69,?
1053,u1053,m69,?
1054,u1054,m69,m
1055,u1055,m69,?
1056,u1056,m69,?
1057,u1057,m69,m
1058,u1058,m69,m
1059,u1059,m69,f
1060,u1060,m69,?
1061,u1061,m69,m
1062,u1062,m69,f
1063,u1063,m69,?
1064,u1064,m69,M
1065,u1065,m69,?
1066,u1066,m69,m
1067,u1067,m70,?
1068,u1068,m70,m
1069,u1069,m70,m
1070,u1070,m70,m
1071,u1071,m70,m
1072,u1072,m70,?
1073,u1073,m70,?
1074,u1074,m70,?
1075,u1075,m70,?
1076,u1076,m70,?
1077,u1077,m70,m
1078,u1078,m70,f
1079,u1079,m70,?
1080,u1080,m70,?
1081,u1081,m70,m
1082,u1082,m70,?
1083,u1083,m70,?
1084,u1084,m70,m
1085,u1085,m71,?
1086,u1086,m71,m
1087,u1087,m71,f
1088,u1088,m71,m
1089,u1089,m71,m
1090,u1090,m71,?
1091,u1091,m71,?
1092,u1092,m72,m
1093,u1093,m72,?
1094,u1094,m72,f
1095,u1095,m72,?
1096,u1096,m72,?
1097,u1097,m72,?
1098,u1098,m72,?
1099,u1099,m72,?
1100,u1100,m72,m
1101,u1101,m72,?
1102,u1102,m72,?
1103,u1103,m72,?
1104,u1104,m72,?
1105,u1105,m72,?
1106,u1106,m72,f
1107,u1107,m72,f
1108,u1108,m72,m
1109,u1109,m72,?
1110,u1110,m72,?
1111,u1111,m73,?
1112,u1112,m73,m
1113,u1113,m73,?
1114,u1114,m73,?
1115,u1115,m73,?
1116,u1116,m73,m
1117,u1117,m73,m
1118,u1118,m73,m
1119,u1119,m73,m
1120,u1120,m74,f
1121,u1121,m74,?
1122,u1122,m74,?
1123,u1123,m74,?
1124,u1124,m74,f
1125,u1125,m74,m
1126,u1126,m74,?
1127,u1127,m74,m
1128,u1128,m74,?
1129,u1129,m74,?
1130,u1130,m74,?
1131,u1131,m74,?
1132,u1132,m74,m
1133,u1133,m74,m
1134,u1134,m74,?
1135,u1135,m74,m
1136,u1136,m75,?
1137,u1137,m75,?
1138,u1138,m75,F
1139,u1139,m75,?
1140,u1140,m75,?
1141,u1141,m75,?
1142,u1142,m75,?
1143,u1143,m75,?
1144,u1144,m75,?
1145,u1145,m75,?
1146,u1146,m75,?
1147,u1147,m75,?
1148,u1148,m75,?
1149,u1149,m75,M
1150,u1150,m75,M
1151,u1151,m75,?
1152,u1152,m75,M
1153,u1153,m75,?
1154,u1154,m75,?
1155,u1155,m76,m
1156,u1156,m76,?
1157,u1157,m76,?
1158,u1158,m76,?
1159,u1159,m76,?
1160,u1160,m76,?
1161,u1161,m76,f
1162,u1162,m76,?
1163,u1163,m76,M
1164,u1164,m76,m
1165,u1165,m76,?
1166,u1166,m76,f
1167,u1167,m76,?
1168,u1168,m76,?
1169,u1169,m77,m
1170,u1170,m77,?
1171,u1171,m77,?
1172,u1172,m77,f
1173,u1173,m77,m
1174,u1174,m77,m
1175,u1175,m77,?
1176,u1176,m77,m
1177,u1177,m77,f
1178,u1178,m77,f
1179,u1179,m77,f
1180,u1180,m77,?
1181,u1181,m77,m
1182,u1182,m77,?
1183,u1183,m78,?
1184,u1184,m78,m
1185,u1185,m78,m
1186,u1186,m78,m
1187,u1187,m78,m
1188,u1188,m78,f
1189,u1189,m78,m
1190,u1190,m78,f
1191,u1191,m78,m
1192,u1192,m78,?
1193,u1193,m78,?
1194,u1194,m78,?
1195,u1195,m78,m
1196,u1196,m78,?
1197,u1197,m78,?
1198,u1198,m78,m
1199,u1199,m78,f
1200,u1200,m78,?
1201,u1201,m78,m
1202,u1202,m79,m
1203,u1203,m79,?
1204,u1204,m79,?
1205,u1205,m79,?
1206,u1206,m79,?
1207,u1207,m79,?
1208,u1208,m79,?
1209,u1209,m79,?
1210,u1210,m79,f
1211,u1211,m79,?
1212,u1212,m79,?
1213,u1213,m79,f
1214,u1214,m79,m
1215,u1215,m79,m
1216,u1216,m79,?
1217,u1217,m80,?
1218,u1218,m80,?
1219,u1219,m80,?
1220,u1220,m80,?
1221,u1221,m80,?
1222,u1222,m80,m
1223,u1223,m80,f
1224,u1224,m80,?
1225,u1225,m80,?
1226,u1226,m80,?
1227,u1227,m80,?
1228,u1228,m80,m
1229,u1229,m81,?
1230,u1230,m81,?
1231,u1231,m81,?
1232,u1232,m81,?
1233,u1233,m81,?
1234,u1234,m81,?
1235,u1235,m81,?
1236,u1236,m81,m
1237,u1237,m81,?
1238,u1238,m81,?
1239,u1239,m81,m
1240,u1240,m82,m
1241,u1241,m82,m
1242,u1242,m82,?
1243,u1243,m82,m
1244,u1244,m82,f
1245,u1245,m82,m
1246,u1246,m82,?
1247,u1247,m82,?
1248,u1248,m82,M
1249,u1249,m83,?
1250,u1250,m83,?
1251,u1251,m83,?
1252,u1252,m83,f
1253,u1253,m83,?
1254,u1254,m83,?
1255,u1255,m83,m
1256,u1256,m83,?
1257,u1257,m83,?
1258,u1258,m83,?
1259,u1259,m83,?
1260,u1260,m83,?
1261,u1261,m83,m
1262,u1262,m83,f
1263,u1263,m83,?
1264,u1264,m83,?
1265,u1265,m83,?
1266,u1266,m83,m
1267,u1267,m83,?
1268,u1268,m84,?
1269,u1269,m84,?
1270,u1270,m84,?
1271,u1271,m84,?
1272,u1272,m84,m
1273,u1273,m84,f
1274,u1274,m84,?
1275,u1275,m84,?
1276,u1276,m84,?
1277,u1277,m84,m
1278,u1278,m84,?
1279,u1279,m84,m
1280,u1280,m85,?
1281,u1281,m85,?
1282,u1282,m85,?
1283,u1283,m85,f
1284,u1284,m85,m
1285,u1285,m85,?
1286,u1286,m85,?
1287,u1287,m85,?
1288,u1288,m85,?
1289,u1289,m86,?
1290,u1290,m86,?
1291,u1291,m86,?
1292,u1292,m86,?
1293,u1293,m86,?
1294,u1294,m86,m
1295,u1295,m86,?
1296,u1296,m86,?
1297,u1297,m86,?
1298,u1298,m86,?
1299,u1299,m86,m
1300,u1300,m86,?
1301,u1301,m87,?
1302,u1302,m87,?
1303,u1303,m87,m
1304,u1304,m87,?
1305,u1305,m87,m
1306,u1306,m87,f
1307,u1307,m87,f
1308,u1308,m87,m
1309,u1309,m87,?
1310,u1310,m87,?
1311,u1311,m87,m
1312,u1312,m88,?
1313,u1313,m88,m
1314,u1314,m88,f
1315,u1315,m88,?
1316,u1316,m88,?
1317,u1317,m88,m
1318,u1318,m88,?
1319,u1319,m88,f
1320,u1320,m88,f
1321,u1321,m88,f
1322,u1322,m88,?
1323,u1323,m88,m
1324,u1324,m88,?
1325,u1325,m88,f
1326,u1326,m89,F
1327,u1327,m89,M
1328,u1328,m89,?
1329,u1329,m89,?
